Chapter	ID	Title	AuthorList	Description
2	[BH00]	The Evolution of Operating Systems 	P. Brinch Hansen. In ’Classic Operating Systems: From Batch Processing to Distributed Systems.’ Springer-Verlag, New York, 2000.	This essay provides an intro to a wonderful collection of papers about historically signiﬁcant systems.
2	[G85]	The GNU Manifesto 	R. Stallman. 1985. www.gnu.org/gnu/manifesto.html.	A huge part of Linux’s success was no doubt the presence of an excellent compiler, gcc, and other relevant pieces of open software, thanks to the GNU effort headed by Stallman. Stallman is a visionary when it comes to open source, and this manifesto lays out his thoughts as to why.
2	[L78]	The Manchester Mark I and Atlas: A Historical Perspective 	S. H. Lavington. Communications of the ACM, Volume 21:1, January 1978.	A nice piece of history on the early development of computer systems and the pioneering efforts of the Atlas. Of course, one could go back and read the Atlas papers themselves, but this paper provides a great overview and adds some historical perspective.
2	[O72]	The Multics System: An Examination of its Structure 	Elliott Organick. MIT Press, 1972.	A great overview of Multics. So many good ideas, and yet it was an over-designed system, shooting for too much, and thus never really worked. A classic example of what Fred Brooks would call the second-system effect [B75].
2	[B75]	The Mythical Man-Month 	F. Brooks. Addison-Wesley, 1975.	A classic text on software engineering; well worth the read.
2	[RT74]	The U NIX Time-Sharing System 	Dennis M. Ritchie, Ken Thompson. CACM, Volume 17: 7, July 1974.	A great summary of U NIX written as it was taking over the world of computing, by the people who wrote it.
2	[BS+09]	Tolerating File-System Mistakes with EnvyFS 	L. Bairavasundaram, S. Sundararaman, A. Arpaci-Dusseau, R. Arpaci-Dusseau. USENIX ’09, San Diego, CA, June 2009.	A fun paper about using multiple ﬁle systems at once to tolerate a mistake in any one of them.
4	[L+75]	Policy/mechanism separation in Hydra 	R. Levin, E. Cohen, W. Corwin, F. Pollack, W. Wulf. SOSP ’75, Austin, Texas, November 1975.	An early paper about how to structure operating systems in a research OS known as Hydra. While Hydra never became a mainstream OS, some of its ideas inﬂuenced OS designers.
4	[DV66]	Programming Semantics for Multiprogrammed Computations 	 Jack B. Dennis, Earl C. Van Horn. 	Communications of the ACM, Volume 9, Number 3, March 1966 . This paper deﬁned many of the early terms and concepts around building multiprogrammed systems.
4	[V+65]	Structure of the Multics Supervisor 	V.A. Vyssotsky, F. J. Corbato, R. M. Graham. Fall Joint Computer Conference, 1965.	An early paper on Multics, which described many of the basic ideas and terms that we ﬁnd in modern systems. Some of the vision behind computing as a utility are ﬁnally being realized in modern cloud systems.
4	[BH70]	The Nucleus of a Multiprogramming System 	Per Brinch Hansen. Communications of the ACM, Volume 13:4, April 1970.	This paper introduces one of the ﬁrst microkernels in operating systems history, called Nucleus. The idea of smaller, more minimal systems is a theme that rears its head repeatedly in OS history; it all began with Brinch Hansen’s work described herein.
4	[CK+08]	The xv6 Operating System	Russ Cox, Frans Kaashoek, Robert Morris, Nickolai Zeldovich. From: https://github.com/mit-pdos/xv6-public.	The coolest real and little OS in the world. Download and play with it to learn more about the details of how operating systems actually work. We have been using an older version (2012-01-30-1-g1c41342) and hence some examples in the book may not match the latest in the source.
5	[B+19]	A fork() in the road 	Andrew Baumann, Jonathan Appavoo, Orran Krieger, Timothy Roscoe. HotOS ’19, Bertinoro, Italy.	A fun paper full of fork()ing rage. Read it to get an opposing viewpoint on the U NIX process API. Presented at the always lively HotOS workshop, where systems researchers go to present extreme opinions in the hopes of pushing the community in new directions.
5	[C63]	A Multiprocessor System Design 	Melvin E. Conway. AFIPS ’63 Fall Joint Computer Conference, New York, USA 1963.	An early paper on how to design multiprocessing systems; may be the ﬁrst place the term fork() was used in the discussion of spawning new processes.
5	[SR05]	Advanced Programming in the UNIX Environment	W. Richard Stevens, Stephen A. Rago. Addison-Wesley, 2005.	All nuances and subtleties of using U NIX APIs are found herein. Buy this book! Read it! And most importantly, live it.
5	[L83]	Hints for Computer Systems Design 	Butler Lampson. ACM Operating Systems Review, Volume 15:5, October 1983.	Lampson’s famous hints on how to design computer systems. You should read it at some point in your life, and probably at many points in your life.
5	[DV66]	Programming Semantics for Multiprogrammed Computations 	Jack B. Dennis and Earl C. Van Horn. Communications of the ACM, Volume 9, Number 3, March 1966.	A classic paper that outlines the basics of multiprogrammed computer systems. Undoubtedly had great inﬂuence on Project MAC, Multics, and eventually U NIX.
5	[J16]	They could be twins! 	Phoebe Jackson-Edwards. The Daily Mail. March 1, 2016..	This hard-hitting piece of journalism shows a bunch of weirdly similar child/parent photos and is frankly kind of mesmerizing. Go ahead, waste two minutes of your life and check it out. But don’t forget to come back here! This, in a microcosm, is the danger of surﬁng the web.
5	[QI15]	With Great Power Comes Great Responsibility 	The Quote Investigator. Available: https://quoteinvestigator.com/2015/07/23/great-power.	The quote investigator concludes that the earliest mention of this concept is 1793, in a collection of decrees made at the French National Convention. The speciﬁc quote: Ils doivent envisager qu’une grande responsabilit est la suite insparable d’un grand pouvoir”, which roughly translates to They must consider that great responsibility follows inseparably from great power.” Only in 1962 did the following words appear in Spider-Man: ...with great power there must also come–great responsibility!” So it looks like the French Revolution gets credit for this one, not Stan Lee. Sorry, Stan.
6	[M+63]	A Time-Sharing Debugging System for a Small Computer 	J. McCarthy, S. Boilen, E. Fredkin, J. C. R. Licklider. AFIPS ’63 (Spring), May, 1963, New York, USA. An early paper about time-sharing that refers to using a timer interrupt; the quote that discusses it:	The basic task of the channel 17 clock routine is to decide whether to remove the current user from core and if so to decide which user program to swap in as he goes out.”
6	[A79]	Alto User’s Handbook 	Xerox. Xerox Palo Alto Research Center, September 1979. Available: http://history-computer.com/Library/AltoUsersHandbook.pdf.	An amazing system, way ahead of its time. Became famous because Steve Jobs visited, took notes, and built Lisa and eventually Mac.
6	[I11]	Intel 64 and IA-32 Architectures Software Developer’s Manual	Volume 3A and 3B: System Programming Guide. Intel Corporation, January 2011.	This is just a boring manual, but sometimes those are useful.
6	[MS96]	lmbench: Portable tools for performance analysis 	Larry McVoy and Carl Staelin. USENIX Annual Technical Conference, January 1996.	A fun paper about how to measure a number of different things about your OS and its performance. Download lmbench and give it a try.
6	[M11]	Mac OS 9	Apple Computer, Inc.. January 2011. http://en.wikipedia.org/wiki/ Mac OS 9 .	You can probably even ﬁnd an OS 9 emulator out there if you want to; check it out, it’s a fun little Mac!
6	[C+04]	Microreboot — A Technique for Cheap Recovery 	G. Candea, S. Kawamoto, Y. Fujiki, G. Friedman, A. Fox. OSDI ’04, San Francisco, CA, December 2004.	An excellent paper pointing out how far one can go with reboot in building more robust systems.
6	[K+61]	One-Level Storage System 	T. Kilburn, D.B.G. Edwards, M.J. Lanigan, F.H. Sumner. IRE Transactions on Electronic Computers, April 1962.	The Atlas pioneered much of what you see in modern systems. However, this paper is not the best one to read. If you were to only read one, you might try the historical perspective below [L78].
6	[S07]	The Geometry of Innocent Flesh on the Bone: Return-into-libc without Function Calls (on the x86)	Hovav Shacham. CCS ’07, October 2007.	One of those awesome, mind-blowing ideas that you’ll see in research from time to time. The author shows that if you can jump into code arbitrarily, you can essentially stitch together any code sequence you like (given a large code base); read the paper for the details. The technique makes it even harder to defend against malicious attacks, alas.
6	[L78]	The Manchester Mark I and Atlas: A Historical Perspective 	S. H. Lavington. Communications of the ACM, 21:1, January 1978.	A history of the early development of computers and the pioneering efforts of Atlas.
6	[P10]	The Single UNIX Speciﬁcation, Version 3	The Open Group, May 2010. Available: http://www.unix.org/version3/.	This is hard and painful to read, so probably avoid it if you can. Like, unless someone is paying you to read it. Or, you’re just so curious you can’t help it!
6	[O90]	Why Aren’t Operating Systems Getting Faster as Fast as Hardware? 	J. Ousterhout. USENIX Summer Conference, June 1990.	A classic paper on the nature of operating system performance.
7	[K64]	Analysis of a Time-Shared Processor 	Leonard Kleinrock. Naval Research Logistics Quarterly, 11:1, pages 59–73, March 1964.	May be the ﬁrst reference to the round-robin scheduling algorithm; certainly one of the ﬁrst analyses of said approach to scheduling a time-shared system.
7	[O45]	Animal Farm 	George Orwell. Secker and Warburg (London), 1945.	A great but depressing allegorical book about power and its corruptions. Some say it is a critique of Stalin and the pre-WWII Stalin era in the U.S.S.R; we say it’s a critique of pigs.
7	[CK68]	Computer Scheduling Methods and their Countermeasures 	Edward G. Coffman and Leonard Kleinrock. AFIPS ’68 (Spring), April 1968.	An excellent early introduction to and analysis of a number of basic scheduling disciplines.
7	[PV56]	Machine Repair as a Priority Waiting-Line Problem 	Thomas E. Phipps Jr., W. R. Van Voorhis. Operations Research, 4:1, pages 76–86, February 1956.	Follow-on work that generalizes the SJF approach to machine repair from Cobham’s original work; also postulates the utility of an STCF approach in such an environment. Speciﬁcally, There are certain types of repair work, ... involving much dismantling and covering the ﬂoor with nuts and bolts, which certainly should not be interrupted once undertaken; in other cases it would be inadvisable to continue work on a long job if one or more short ones became available (p.81).”
7	[C54]	Priority Assignment in Waiting Line Problems 	A. Cobham. Journal of Operations Research, 2:70, pages 70–76, 1954.	The pioneering paper on using an SJF approach in scheduling the repair of machines.
7	[J91]	The Art of Computer Systems Performance Analysis: Techniques for Experimental Design, Measurement, Simulation, and Modeling 	R. Jain. Interscience, New York, April 1991.	The standard text on computer systems measurement. A great reference for your library, for sure.
7	[B+79]	The Convoy Phenomenon 	M. Blasgen, J. Gray, M. Mitoma, T. Price. ACM Operating Systems Review, 13:2, April 1979.	Perhaps the ﬁrst reference to convoys, which occurs in databases as well as the OS.
7	[MB91]	The effect of context switches on cache performance 	Jeffrey C. Mogul, Anita Borg. ASPLOS, 1991.	A nice study on how cache performance can be affected by context switching; less of an issue in today’s systems where processors issue billions of instructions per second but context-switches still happen in the millisecond time range.
7	[W15]	You can’t have your cake and eat it 	Authors: Unknown.. Wikipedia (as of December 2015). http://en.wikipedia.org/wiki/You can’t have your cake and eat it.	The best part of this page is reading all the similar idioms from other languages. In Tamil, you can’t have both the moustache and drink the soup.”
8	[E95]	An Analysis of Decay-Usage Scheduling in Multiprocessors 	D.H.J. Epema. SIGMETRICS ’95.	A nice paper on the state of the art of scheduling back in the mid 1990s, including a good overview of the basic approach behind decay-usage schedulers.
8	[C+62]	An Experimental Time-Sharing System 	F. J. Corbato, M. M. Daggett, R. C. Daley. IFIPS 1962.	A bit hard to read, but the source of many of the ﬁrst ideas in multi-level feedback scheduling. Much of this later went into Multics, which one could argue was the most inﬂuential operating system of all time.
8	[P+95]	Informed Prefetching and Caching 	R.H. Patterson, G.A. Gibson, E. Ginting, D. Stodolsky, J. Zelenka. SOSP ’95, Copper Mountain, Colorado, October 1995.	A fun paper about some very cool ideas in ﬁle systems, including how applications can give the OS advice about what ﬁles it is accessing and how it plans to access them.
8	[CS97]	Inside Windows NT 	Helen Custer and David A. Solomon. Microsoft Press, 1997.	The NT book, if you want to learn about something other than U NIX. Of course, why would you? OK, we’re kidding; you might actually work for Microsoft some day you know.
8	[O11]	John Ousterhout’s Home Page 	John Ousterhout. www.stanford.edu/~ouster/. 	The home page of the famous Professor Ousterhout. The two co-authors of this book had the pleasure of taking graduate operating systems from Ousterhout while in graduate school; indeed, this is where the two co-authors got to know each other, eventually leading to marriage, kids, and even this book. Thus, you really can blame Ousterhout for this entire mess you’re in.
8	[AD00]	Multilevel Feedback Queue Scheduling in Solaris 	Andrea Arpaci-Dusseau. Available: http://www.ostep.org/Citations/notes-solaris.pdf. 	A great short set of notes by one of the authors on the details of the Solaris scheduler. OK, we are probably biased in this description, but the notes are pretty darn good.
8	[Y+18]	Principled Schedulability Analysis for Distributed Storage Systems using Thread Architecture Models 	Suli Yang, Jing Liu, Andrea C. Arpaci-Dusseau, Remzi H. ArpaciDusseau. OSDI ’18, San Diego, California.	A recent work of our group that demonstrates the difﬁculty of scheduling I/O requests within modern distributed storage systems such as Hive/HDFS, Cassandra, MongoDB, and Riak. Without care, a single user might be able to monopolize system resources.
8	[M06]	Solaris Internals: Solaris 10 and OpenSolaris Kernel Architecture	Richard McDougall. Prentice-Hall, 2006.	A good book about Solaris and how it works.
8	[LM+89]	The Design and Implementation of the 4.3BSD U NIX Operating System	S.J. Lefﬂer, M.K. McKusick, M.J. Karels, J.S. Quarterman. Addison-Wesley, 1989.	Another OS classic, written by four of the main people behind BSD. The later versions of this book, while more up to date, don’t quite match the beauty of this one.
8	[B86]	The Design of the U NIX Operating System 	M.J. Bach. Prentice-Hall, 1986.	One of the classic old books on how a real U NIX operating system is built; a deﬁnite must-read for kernel hackers.
9	[KL88]	A Fair Share Scheduler 	J. Kay and P. Lauder. CACM, Volume 31 Issue 1, January 1988.	An early reference to a fair-share scheduler.
9	[AC97]	Extending Proportional-Share Scheduling to a Network of Workstations 	Andrea C. Arpaci-Dusseau and David E. Culler. PDPTA’97, June 1997.	A paper by one of the authors on how to extend proportional-share scheduling to work better in a clustered environment.
9	[J09]	Inside The Linux 2.6 Completely Fair Scheduler	M. Tim Jones. December 15, 2009. http://ostep.org/Citations/inside-cfs.pdf.	A simple overview of CFS from its earlier days. CFS was created by Ingo Molnar in a short burst of creativity which led to a 100K kernel patch developed in 62 hours.
9	[W95]	Lottery and Stride Scheduling: Flexible Proportional-Share Resource Management 	Carl A. Waldspurger. Ph.D. Thesis, MIT, 1995.	The award-winning thesis of Waldspurger’s that outlines lottery and stride scheduling. If you’re thinking of writing a Ph.D. dissertation at some point, you should always have a good example around, to give you something to strive for: this is such a good one.
9	[WW94]	Lottery Scheduling: Flexible Proportional-Share Resource Management 	Carl A. Waldspurger and William E. Weihl. OSDI ’94, November 1994.	The landmark paper on lottery scheduling that got the systems community re-energized about scheduling, fair sharing, and the power of simple randomized algorithms.
9	[W02]	Memory Resource Management in VMware ESX Server 	Carl A. Waldspurger. OSDI ’02, Boston, Massachusetts.	he paper to read about memory management in VMMs (a.k.a., hypervisors). In addition to being relatively easy to read, the paper contains numerous cool ideas about this new type of VMM-level memory management.
9	[K+15]	Proﬁling A Warehouse-scale Computer 	S. Kanev, P. Ranganathan, J. P. Darago, K. Hazelwood, T. Moseley, G. Wei, D. Brooks. ISCA ’15, June, 2015, Portland, Oregon.	A fascinating study of where the cycles go in modern data centers, which are increasingly where most of computing happens. Almost 20% of CPU time is spent in the operating system, 5% in the scheduler alone!
9	[B72]	Symmetric binary B-Trees: Data Structure And Maintenance Algorithms 	Rudolf Bayer. Acta Informatica, Volume 1, Number 4, December 1972.	A cool balanced tree introduced before you were born (most likely). One of many balanced trees out there; study your algorithms book for more alternatives!
9	[B+18]	The Battle of the Schedulers: FreeBSD ULE vs. Linux CFS 	J. Bouron, S. Chevalley, B. Lepers, W. Zwaenepoel, R. Gouicem, J. Lawall, G. Muller, J. Sopena. USENIX ATC ’18, July 2018, Boston, Massachusetts.	A recent, detailed work comparing Linux CFS and the FreeBSD schedulers. An excellent overview of each scheduler is also provided. The result of the comparison: inconclusive (in some cases CFS was better, and in others, ULE (the BSD scheduler), was. Sometimes in life there are no easy answers.
9	[D82]	Why Numbering Should Start At Zero 	Edsger Dijkstra, August 1982. Available: http://www.cs.utexas.edu/users/EWD/ewd08xx/EWD831.PDF.	A short note from E. Dijkstra, one of the pioneers of computer science. We’ll be hearing much more on this guy in the section on Concurrency. In the meanwhile, enjoy this note, which includes this motivating quote:  One of my colleagues — not a computing scientist — accused a number of younger computing scientists of ’pedantry’ because they started numbering at zero.” The note explains why doing so is logical.
10	[SHW11]	A Primer on Memory Consistency and Cache Coherence 	Daniel J. Sorin, Mark D. Hill, and David A. Wood. Synthesis Lectures in Computer Architecture. Morgan and Claypool Publishers, May 2011.	A deﬁnitive overview of memory consistency and multiprocessor caching. Required reading for anyone who likes to know way too much about a given topic.
10	[B+10]	An Analysis of Linux Scalability to Many Cores Abstract 	Silas Boyd-Wickizer, Austin T. Clements, Yandong Mao, Aleksey Pesterev, M. Frans Kaashoek, Robert Morris, Nickolai Zeldovich. OSDI ’10, Vancouver, Canada, October 2010.	A terriﬁc modern paper on the difﬁculties of scaling Linux to many cores.
10	[SA96]	Earliest Eligible Virtual Deadline First: A Flexible and Accurate Mechanism for Proportional Share Resource Allocation 	Ion Stoica and Hussein Abdel-Wahab. Technical Report TR-95-22, Old Dominion University, 1996.	A tech report on this cool scheduling idea, from Ion Stoica, now a professor at U.C. Berkeley and world expert in networking, distributed systems, and many other things.
10	[TTG95]	Evaluating the Performance of Cache-Afﬁnity Scheduling in Shared-Memory Multiprocessors 	Josep Torrellas, Andrew Tucker, Anoop Gupta. Journal of Parallel and Distributed Computing, Volume 24:2, February 1995.	This is not the ﬁrst paper on the topic, but it has citations to earlier work, and is a more readable and practical paper than some of the earlier queuingbased analysis papers.
10	[CSG99]	Parallel Computer Architecture: A Hardware/Software Approach 	David E. Culler, Jaswinder Pal Singh, and Anoop Gupta. Morgan Kaufmann, 1999.	A treasure ﬁlled with details about parallel machines and algorithms. As Mark Hill humorously observes on the jacket, the book contains more information than most research papers.
10	[FLR98]	The Implementation of the Cilk-5 Multithreaded Language	Matteo Frigo, Charles E. Leiserson, Keith Randall. PLDI ’98, Montreal, Canada, June 1998.	Cilk is a lightweight language and runtime for writing parallel programs, and an excellent example of the work-stealing paradigm.
10	[A90]	The Performance of Spin Lock Alternatives for Shared-Memory Multiprocessors 	Thomas E. Anderson. IEEE TPDS Volume 1:1, January 1990.	A classic paper on how different locking alternatives do and don’t scale. By Tom Anderson, very well known researcher in both systems and networking. And author of a very ﬁne OS textbook, we must say.
10	[M11]	Towards Transparent CPU Scheduling 	Joseph T. Meehean. Doctoral Dissertation at University of Wisconsin—Madison, 2011.	A dissertation that covers a lot of the details of how modern Linux multiprocessor scheduling works. Pretty awesome! But, as co-advisors of Joe’s, we may be a bit biased here.
10	[G83]	Using Cache Memory To Reduce Processor-Memory Trafﬁc 	James R. Goodman. ISCA ’83, Stockholm, Sweden, June 1983.	The pioneering paper on how to use bus snooping, i.e., paying attention to requests you see on the bus, to build a cache coherence protocol. Goodman’s research over many years at Wisconsin is full of cleverness, this being but one example.
13	[M+63]	A Time-Sharing Debugging System for a Small Computer 	J. McCarthy, S. Boilen, E. Fredkin, J. C. R. Licklider. AFIPS ’63 (Spring), New York, NY, May 1963.	A great early example of a system that swapped program memory to the drum” when the program wasn’t running, and then back into core” memory when it was about to be run.
13	[S+03]	Improving the Reliability of Commodity Operating Systems 	M. M. Swift, B. N. Bershad, H. M. Levy. SOSP ’03.	The ﬁrst paper to show how microkernel-like thinking can improve operating system reliability.
13	[CV65]	Introduction and Overview of the Multics System 	F. J. Corbato, V. A. Vyssotsky. Fall Joint Computer Conference, 1965.	A great early Multics paper. Here is the great quote about time sharing: The impetus for time-sharing ﬁrst arose from professional programmers because of their constant frustration in debugging programs at batch processing installations. Thus, the original goal was to time-share computers to allow simultaneous access by several persons while giving to each of them the illusion of having the whole machine at his disposal.”
13	[R+89]	Mach: A System Software kernel 	R. Rashid, D. Julin, D. Orr, R. Sanzi, R. Baron, A. Forin, D. Golub, M. Jones. COMPCON ’89, February 1989.	Although not the ﬁrst project on microkernels per se, the Mach project at CMU was well-known and inﬂuential; it still lives today deep in the bowels of Mac OS X.
13	[L60]	Man-Computer Symbiosis 	J. C. R. Licklider. IRE Transactions on Human Factors in Electronics, HFE-1:1, March 1960.	A funky paper about how computers and people are going to enter into a symbiotic age; clearly well ahead of its time but a fascinating read nonetheless.
13	[DV66]	Programming Semantics for Multiprogrammed Computations 	Jack B. Dennis, Earl C. Van Horn. Communications of the ACM, Volume 9, Number 3, March 1966.	An early paper (but not the ﬁrst) on multiprogramming.
13	[M83]	Reminiscences on the History of Time Sharing 	John McCarthy. 1983. Available: http://www-formal.stanford.edu/jmc/history/timesharing/timesharing.html.	A terriﬁc historical note on where the idea of time-sharing might have come fzshortm, including some doubts towards those who cite Strachey’s work [S59] as the by pioneering work in this area..
13	[BH70]	The Nucleus of a Multiprogramming System 	Per Brinch Hansen. Communications of the ACM, 13:4, April 1970.	The ﬁrst paper to suggest that the OS, or kernel, should be a minimal and ﬂexible substrate for building customized operating systems; this theme is revisited throughout OS research history.
13	[S59]	Time Sharing in Large Fast Computers 	C. Strachey. Proceedings of the International Conference on Information Processing, UNESCO, June 1959.	One of the earliest references on time sharing.
13	[M62]	Time-Sharing Computer Systems 	J. McCarthy. Management and the Computer of the Future, MIT Press, Cambridge, MA, 1962.	Probably McCarthy’s earliest recorded paper on time sharing. In another paper [M83], he claims to have been thinking of the idea since 1957. McCarthy left the systems area and went on to become a giant in Artiﬁcial Intelligence at Stanford, including the creation of the LISP programming language. See McCarthy’s home page for more info: http://www-formal.stanford.edu/jmc/
13	[NS07]	Valgrind: A Framework for Heavyweight Dynamic Binary Instrumentation 	N. Nethercote, J. Seward. PLDI 2007, San Diego, California, June 2007.	Valgrind is a lifesaver of a program for those who use unsafe languages like C. Read this paper to learn about its very cool binary instrumentation techniques – it’s really quite impressive.
14	[SR05]	Advanced Programming in the UNIX Environment	W. Richard Stevens, Stephen A. Rago. Addison-Wesley, 2005.	We’ve said it before, we’ll say it again: read this book many times and use it as a reference whenever you are in doubt. The authors are always surprised at how each time they read something in this book, they learn something new, even after many years of C programming.
14	[N+07]	Exterminator: Automatically Correcting Memory Errors with High Probability	G. Novark, E. D. Berger, B. G. Zorn. PLDI 2007, San Diego, California.	A cool paper on ﬁnding and correcting memory errors automatically, and a great overview of many common errors in C and C++ programs. An extended version of this paper is available CACM (Volume 51, Issue 12, December 2008).
14	[HJ92]	Purify: Fast Detection of Memory Leaks and Access Errors	R. Hastings, B. Joyce. USENIX Winter ’92.	The paper behind the cool Purify tool, now a commercial product.
14	[W06]	Survey on Buffer Overﬂow Attacks and Countermeasures	T. Werthman. Available: www.nds.rub.de/lehre/seminar/SS06/Werthmann BufferOverﬂow.pdf.	A nice survey of buffer overﬂows and some of the security problems they cause. Refers to many of the famous exploits.
14	[KR88]	The C Programming Language	Brian Kernighan, Dennis Ritchie. Prentice-Hall 1988.	The C book, by the developers of C. Read it once, do some programming, then read it again, and then keep it near your desk or wherever you program.
14	[SN05]	Using Valgrind to Detect Undeﬁned Value Errors with Bit-precision	J. Seward, N. Nethercote. USENIX ’05.	How to use valgrind to ﬁnd certain types of errors.
15	[WL+93]	Efﬁcient Software-based Fault Isolation	Robert Wahbe, Steven Lucco, Thomas E. Anderson, Susan L. Graham. SOSP ’93.	A terriﬁc paper about how you can use compiler support to bound memory references from a program, without hardware support. The paper sparked renewed interest in software techniques for isolation of memory references.
15	[W17] Answer to footnote:	Is there anything other than havoc that can be wreaked?	Waciuma Wanjohi. October 2017.	Amazingly, this enterprising reader found the answer via google’s Ngram viewing tool (available at the following URL: http://books.google.com/ngrams). The answer, thanks to Mr. Wanjohi It’s only since about 1970 that ’wreak havoc’ has been more popular than ’wreak vengeance’. In the 1800s, the word wreak was almost always followed by ’his/their vengeance’.” Apparently, when you wreak, you are up to no good, but at least wreakers have some options now.
15	[M65]	On Dynamic Program Relocation	W.C. McGee. IBM Systems Journal, Volume 4:3, 1965, pages 184–199.	This paper is a nice summary of early work on dynamic relocation, as well as some basics on static relocation.
15	[P90]	Relocating loader for MS-DOS .EXE executable ﬁles	Kenneth D. A. Pillay. Microprocessors & Microsystems archive, Volume 14:7 (September 1990).	An example of a relocating loader for MS-DOS. Not the ﬁrst one, but just a relatively modern example of how such a system works.
15	[S04]	System Call Support	Mark Smotherman. May 2004. people.cs.clemson.edu/ ~mark/syscall.html.	A neat history of system call support. Smotherman has also collected some early history on items like interrupts and other fun aspects of computing history. See his web pages for more details.
15	[SS74]	The Protection of Information in Computer Systems	J. Saltzer and M. Schroeder. CACM, July 1974.	From this paper: The concepts of base-and-bound register and hardware-interpreted descriptors appeared, apparently independently, between 1957 and 1959 on three projects with diverse goals. At M.I.T., McCarthy suggested the base-and-bound idea as part of the memory protection system necessary to make time-sharing feasible. IBM independently developed the base-and-bound register as a mechanism to permit reliable multiprogramming of the Stretch (7030) computer system. At Burroughs, R. Barton suggested that hardware-interpreted descriptors would provide direct support for the naming scope rules of higher level languages in the B5000 computer system.” We found this quote on Mark Smotherman’s cool history pages [S04]; see them for more information.
16	[R69]	A note on storage fragmentation and program segmentation	Brian Randell. Communications of the ACM, Volume 12:7, July 1969.	One of the earliest papers to discuss fragmentation.
16	[RK68]	Dynamic Storage Allocation Systems	B. Randell and C.J. Kuehner. Communications of the ACM, Volume 11:5, May 1968.	A nice overview of the differences between paging and segmentation, with some historical discussion of various machines.
16	[W+95]	Dynamic Storage Allocation: A Survey and Critical Review	Paul R. Wilson, Mark S. Johnstone, Michael Neely, David Boles. 	International Workshop on Memory Management, Scotland, UK, September 1995. A great survey paper on memory allocators.
16	[G62]	Fact Segmentation	M. N. Greenﬁeld. Proceedings of the SJCC, Volume 21, May 1962.	Another early paper on segmentation; so early that it has no references to other work.
16	[L83]	Hints for Computer Systems Design	Butler Lampson. ACM Operating Systems Review, 15:5, October 1983.	A treasure-trove of sage advice on how to build systems. Hard to read in one sitting; take it in a little at a time, like a ﬁne wine, or a reference manual.
